cluster_id,log_e_full,log_e_para_multi,log_e_oracle,log_e_stacked_full,log_e_stacked_para,y_astro
9204,164.89726090463446,-1.7795216062207635,-7.227645416372736,164.20411372407452,-2.468373651155752,0
9205,164.89726090463446,-1.1202113183462172,-5.823974976215251,164.20411372407452,-1.8043381945246928,0
9206,164.89726090463446,-1.111349822060582,-6.545697789846178,164.20411372407452,-1.8001424179872578,0
9207,164.89726090463446,10.688443226196874,-5.7481283112779415,164.20411372407452,9.995296118362587,0
9208,164.89726090463446,-1.6270276006767357,-6.125079869367839,164.20411372407452,-2.309105616151467,0
9209,164.89726090463446,-1.494207283162879,-5.866692750827296,164.20411372407452,-2.1748135948135667,0
9210,164.89726090463446,-1.2776601579366178,-5.940241489499492,164.20411372407452,-1.961409578267363,0
9211,164.89726090463446,-0.967514729982105,-7.208953910179098,164.20411372407452,-1.6587167522419528,0
9212,164.89726090463446,13.605451879538805,-5.940241489499492,164.20411372407452,12.912304702225343,0
9213,-1.6508694088959373,-1.1661351868209746,-7.372250158877572,-2.34074675562755,-1.8572673403216724,0
9214,164.89726090463446,-1.5687627539130569,-7.1873069365924,164.20411372407452,-2.2582865849721028,0
9215,164.89726090463446,-1.4958941475674945,-6.27983886018005,164.20411372407452,-2.180713159394131,0
9216,164.89726090463446,-1.2526387978738247,-5.867744801542216,164.20411372407452,-1.9359335397037274,0
9217,164.89726090463446,-1.35150014714596,-5.8417632393498415,164.20411372407452,-2.033492087271707,0
9218,164.89726090463446,-0.3936445868494991,0.5062563632585784,164.20411372407452,0.15429168885932965,0
9219,164.89726090463446,-1.7554663561706678,-7.233526798930004,164.20411372407452,-2.4444448137442167,0
9220,164.89726090463446,-0.6251376158111799,-1.0700536520252542,164.20411372407452,-0.8230532805492208,0
9221,164.89726090463446,10.688447354347282,-0.9089969876969133,164.20411372407452,9.995309363288193,0
9222,164.89726090463446,10.688446680711758,-6.083053508785641,164.20411372407452,9.995299552178958,0
9223,164.89726090463446,-1.619286178006964,-7.1873069365924,164.20411372407452,-2.308622598981468,0
