cluster_id,score_supervised_full
741,5.557638056356535e-05
742,5.8638781860524305e-05
743,0.00012576789219033107
744,0.0001149318869747159
745,4.804819881456474e-05
746,7.550686202559025e-05
747,7.435193324133953e-05
748,0.0001271179421258383
749,2.2928130484507014e-05
750,3.277771705274918e-05
751,0.00012983498277143599
752,0.00010123106000170549
753,0.00011090470963039631
754,3.277771705274918e-05
755,5.5792538903736045e-05
756,0.00031400192349269535
757,5.8314499154218505e-05
758,3.385538082762965e-05
759,3.385538082762965e-05
760,0.00033583944813793875
761,7.550686202559025e-05
762,7.550686202559025e-05
763,0.013676209659882553
764,4.243568963229137e-05
765,3.481201745946954e-05
766,8.461174909592153e-05
767,4.4942084313084635e-05
768,7.925489277977144e-05
769,7.550686202559025e-05
770,0.0971716114007185
771,0.00012642616615833892
772,8.461174909592153e-05
773,4.4942084313084635e-05
774,5.5792538903736045e-05
775,2.2928130484507014e-05
776,0.002372321024344695
777,9.335343508110161e-05
778,8.62841484258932e-05
779,4.540121430718667e-05
780,0.0001683899550176391
781,0.00011608106814254176
782,4.3174335854520414e-05
783,9.66151099717712e-05
784,0.00010123106000170549
785,7.979131884753436e-05
786,3.3592120947808416e-05
787,5.8314499154218505e-05
788,5.8638781860524305e-05
789,5.8638781860524305e-05
790,3.0255617066206472e-05
791,0.00010123106000170549
792,0.00024252866096183474
793,3.0255617066206472e-05
794,8.317032021130539e-05
795,7.550686202559025e-05
796,9.028466344706362e-05
797,0.00027640960856947447
798,3.3592120947808416e-05
799,0.00012835006574848468
800,7.979131884753436e-05
801,8.289465191651534e-05
802,6.152891779582762e-05
803,5.5395712172398854e-05
804,8.461174909592153e-05
805,8.461174909592153e-05
806,4.6212434981040124e-05
807,3.385538082762965e-05
808,0.00010123106000170549
809,4.6212434981040124e-05
810,2.9606732194763872e-05
811,6.512622173436822e-05
812,4.540121430718667e-05
813,5.204306512286194e-05
814,7.2255895756446e-05
815,0.000342441490628509
816,5.4572048926937234e-05
817,5.5792538903736045e-05
818,3.277771705274918e-05
819,3.277771705274918e-05
820,5.5792538903736045e-05
821,3.7268898122535716e-05
822,0.00011202067298118039
823,5.5114938718459614e-05
824,7.537847758247131e-05
825,6.207004696356294e-05
826,0.00012929544452859772
827,0.00025387677261261776
828,0.001024404836032475
829,6.376371242716023e-05
830,4.7848253952898715e-05
831,3.277771705274918e-05
832,7.550686202559025e-05
833,3.3592120947808416e-05
834,0.0001271179421258383
835,3.481201745946954e-05
836,0.0002560902325764599
837,3.7268898122535716e-05
838,3.0255617066206472e-05
839,0.0001271179421258383
840,0.0002259098421770079
841,0.0001036706495112654
842,6.513956585773506e-05
843,4.540121430718667e-05
844,4.6212434981040124e-05
845,6.755341617767076e-05
846,6.422453243557856e-05
847,3.481201745946954e-05
848,7.2255895756446e-05
849,4.6212434981040124e-05
850,5.5792538903736045e-05
851,7.979131884753436e-05
852,3.385538082762965e-05
853,4.302413096533109e-05
854,5.8314499154218505e-05
855,5.8638781860524305e-05
856,5.557638056356535e-05
857,0.00010011199397978165
858,5.9991265075787155e-05
859,7.550686202559025e-05
860,3.481201745946954e-05
861,5.557638056356535e-05
862,9.864856595194695e-05
863,5.5792538903736045e-05
864,4.6212434981040124e-05
865,5.4572048926937234e-05
866,3.7268898122535716e-05
867,6.198048268085365e-05
868,3.277771705274918e-05
869,4.5391283253676936e-05
870,4.2616604105591255e-05
871,0.0002451731688521511
872,7.550686202559025e-05
873,3.277771705274918e-05
874,8.461174909592153e-05
875,3.385538082762965e-05
876,3.967875072813967e-05
877,7.187280332040441e-05
878,6.297618167928773e-05
