kind,kappa_hat,r_emp
astroturf,1091.9483124818064,0.8398215770721436
astroturf,1989.7847754457914,0.9083572030067444
astroturf,1663.7878828165221,0.8914728164672852
astroturf,1265.394849716314,0.8600000143051147
astroturf,1757.8540533660448,0.896949291229248
astroturf,1690.163377750881,0.8930660486221313
astroturf,1911.837469372871,0.904815137386322
astroturf,1967.9046788514243,0.907389760017395
astroturf,1607.8623983599641,0.8879330158233643
astroturf,1993.6483730762466,0.9085259437561035
astroturf,1541.6166883135925,0.8834304809570312
astroturf,2072.337697718988,0.9118326306343079
astroturf,1656.1744727512908,0.8910040855407715
astroturf,2319.8867851858586,0.9208378195762634
astroturf,1914.8402419306344,0.9049566388130188
astroturf,1572.1013267538035,0.8855463862419128
astroturf,1421.436614116098,0.8742707371711731
astroturf,1634.6261475681113,0.8896552920341492
astroturf,1295.7422941526854,0.8630222678184509
astroturf,1638.4450289981874,0.8898967504501343
astroturf,1910.136401175179,0.9047347903251648
astroturf,1602.0404195572562,0.8875512480735779
astroturf,1408.4073838311513,0.8731908798217773
astroturf,1302.426525718461,0.8636705875396729
astroturf,1644.6056789404076,0.8902840614318848
astroturf,1763.9257301063642,0.8972839117050171
astroturf,2299.16161152479,0.9201549291610718
astroturf,2022.7778511882743,0.9097784757614136
astroturf,2008.3680252836964,0.9091631770133972
astroturf,1131.209875883938,0.8448786735534668
astroturf,1262.5683521537237,0.859711766242981
astroturf,1955.930765620239,0.9068516492843628
astroturf,1580.351866485409,0.8861059546470642
astroturf,1952.9561891033977,0.9067170023918152
astroturf,1940.2673187657194,0.9061382412910461
astroturf,1680.1602445559145,0.8924673199653625
astroturf,1376.3984896323616,0.8704579472541809
astroturf,1675.2351553200517,0.8921700716018677
astroturf,1330.525964031572,0.8663305640220642
astroturf,1426.6496880270286,0.8746976852416992
astroturf,1689.5087072516071,0.8930270671844482
astroturf,1671.6191379170325,0.891950786113739
astroturf,1296.4943960674657,0.8630955219268799
astroturf,1167.1203935675906,0.8492343425750732
astroturf,1732.818253123781,0.8955462574958801
astroturf,2009.62768159193,0.9092172980308533
astroturf,1710.7224148039022,0.894275963306427
astroturf,1428.0998581490155,0.8748159408569336
astroturf,1390.9077312183847,0.8717111349105835
astroturf,1846.6523601616223,0.9016363620758057
astroturf,1659.263648146184,0.891194760799408
astroturf,1852.4787829843526,0.9019290804862976
astroturf,1326.91413335691,0.8659944534301758
astroturf,1352.8799869374946,0.8683740496635437
astroturf,1797.4676182929074,0.8990941047668457
astroturf,1917.7617435651664,0.9050939083099365
astroturf,2150.396817734476,0.9148852825164795
astroturf,1487.6930210309984,0.8794904947280884
astroturf,2128.9397587683543,0.9140673875808716
astroturf,2177.864520937467,0.9159098863601685
astroturf,2244.2031432537424,0.9182857871055603
astroturf,1907.839209971313,0.9046260714530945
astroturf,1189.4908721577551,0.8518270254135132
astroturf,1433.6463685323495,0.8752661943435669
astroturf,2179.604461450965,0.915973961353302
astroturf,1615.8957390240994,0.8884555697441101
astroturf,1969.057890968071,0.907441258430481
astroturf,1764.5682918164252,0.8973191976547241
astroturf,2102.366501479326,0.9130324721336365
astroturf,1576.5435162040583,0.885848343372345
astroturf,1741.5807997651118,0.8960416316986084
astroturf,1921.9193545160936,0.905288577079773
astroturf,1953.1442328020548,0.9067255258560181
astroturf,1740.6384671825904,0.8959885835647583
astroturf,1677.4923746076763,0.8923065066337585
astroturf,1411.3609551241884,0.8734372854232788
astroturf,1511.165871718,0.8812376856803894
