cluster_id,n,n_unique_at_hi_gamma,frac_unclustered_at_hi,fragmentation_rate,frac_astroturf,frac_advocacy,y_astro,y_adv
389,42,5,0.0,0.11904761904761904,0.0,0.0,0,0
390,42,3,0.0,0.07142857142857142,0.0,0.0,0,0
391,42,4,0.0,0.09523809523809523,0.0,0.0,0,0
392,42,2,0.0,0.047619047619047616,0.0,0.0,0,0
393,42,5,0.0,0.11904761904761904,0.0,0.0,0,0
394,42,7,0.0,0.16666666666666666,0.0,0.0,0,0
395,42,3,0.0,0.07142857142857142,0.0,0.0,0,0
396,42,8,0.0,0.19047619047619047,0.0,0.0,0,0
397,42,5,0.0,0.11904761904761904,0.0,0.0,0,0
398,42,4,0.0,0.09523809523809523,0.0,0.0,0,0
399,42,2,0.0,0.047619047619047616,0.0,0.0,0,0
400,42,2,0.0,0.047619047619047616,0.0,0.0,0,0
401,42,2,0.0,0.047619047619047616,0.0,0.0,0,0
402,42,2,0.0,0.047619047619047616,0.0,0.0,0,0
403,42,10,0.0,0.23809523809523808,0.0,0.0,0,0
404,42,3,0.0,0.07142857142857142,0.0,0.0,0,0
405,42,3,0.0,0.07142857142857142,0.0,0.0,0,0
406,42,6,0.0,0.14285714285714285,0.0,0.6666666666666666,0,1
407,42,3,0.0,0.07142857142857142,0.0,0.0,0,0
408,42,1,0.0,0.023809523809523808,0.0,0.0,0,0
409,42,5,0.0,0.11904761904761904,0.0,0.0,0,0
410,42,5,0.0,0.11904761904761904,0.0,0.0,0,0
411,42,12,0.0,0.2857142857142857,0.0,0.0,0,0
412,42,6,0.0,0.14285714285714285,0.0,0.0,0,0
413,41,5,0.0,0.12195121951219512,0.0,0.0,0,0
414,41,6,0.0,0.14634146341463414,0.0,0.0,0,0
415,41,7,0.0,0.17073170731707318,0.0,0.0,0,0
416,41,4,0.0,0.0975609756097561,0.0,0.0,0,0
417,41,6,0.0,0.14634146341463414,0.0,0.0,0,0
418,41,10,0.0,0.24390243902439024,0.0,0.0,0,0
419,41,4,0.0,0.0975609756097561,0.0,0.0,0,0
420,41,5,0.0,0.12195121951219512,0.0,0.0,0,0
421,41,6,0.0,0.14634146341463414,0.0,0.0975609756097561,0,0
422,41,5,0.0,0.12195121951219512,0.0,0.0,0,0
423,41,8,0.0,0.1951219512195122,0.0,1.0,0,1
424,41,12,0.0,0.2926829268292683,0.0,0.0,0,0
425,41,4,0.0,0.0975609756097561,0.0,0.0,0,0
426,41,5,0.0,0.12195121951219512,0.0,0.0,0,0
427,41,2,0.0,0.04878048780487805,0.0,0.0,0,0
428,41,6,0.0,0.14634146341463414,0.0,0.0,0,0
429,41,4,0.0,0.0975609756097561,0.0,0.0,0,0
430,41,4,0.0,0.0975609756097561,0.0,0.0,0,0
431,41,2,0.0,0.04878048780487805,0.0,0.0,0,0
432,41,2,0.0,0.04878048780487805,0.0,0.0,0,0
433,41,6,0.0,0.14634146341463414,0.0,0.2682926829268293,0,0
434,41,6,0.0,0.14634146341463414,0.0,0.0,0,0
435,41,6,0.0,0.14634146341463414,0.0,0.0,0,0
436,41,6,0.0,0.14634146341463414,0.0,0.7073170731707317,0,1
437,41,1,0.0,0.024390243902439025,0.0,0.0,0,0
438,41,1,0.0,0.024390243902439025,0.0,0.0,0,0
439,41,10,0.0,0.24390243902439024,0.0,0.0,0,0
440,41,1,0.0,0.024390243902439025,0.0,0.0,0,0
441,40,5,0.0,0.125,0.0,0.325,0,0
