method,k,precision,recall
LRT (log_e),3251,0.002460781298062135,0.0013175230566534915
LRT (log_e),3301,0.0024235080278703423,0.0013175230566534915
LRT (log_e),3351,0.002387347060578932,0.0013175230566534915
LRT (log_e),3401,0.004116436342252279,0.00230566534914361
LRT (log_e),3451,0.005215879455230368,0.0029644268774703555
LRT (log_e),3501,0.009140245644101685,0.005270092226613966
LRT (log_e),3551,0.014925373134328358,0.00872859025032938
LRT (log_e),3601,0.014995834490419328,0.008893280632411068
LRT (log_e),3651,0.015064365927143249,0.009057971014492754
LRT (log_e),3701,0.017022426371251013,0.010375494071146246
LRT (log_e),3751,0.017861903492402027,0.01103425559947299
LRT (log_e),3801,0.018679294922388845,0.011693017127799736
LRT (log_e),3851,0.019735133731498312,0.012516469038208168
LRT (log_e),3901,0.02127659574468085,0.013669301712779974
LRT (log_e),3951,0.02201974183750949,0.01432806324110672
LRT (log_e),4001,0.023994001499625092,0.015810276679841896
LRT (log_e),4051,0.026906936558874352,0.01795125164690382
LRT (log_e),4101,0.0265788831992197,0.01795125164690382
LRT (log_e),4151,0.026499638641291255,0.018115942028985508
LRT (log_e),4201,0.026422280409426326,0.018280632411067192
LRT (log_e),4251,0.02611150317572336,0.018280632411067192
LRT (log_e),4301,0.025807951639153684,0.018280632411067192
LRT (log_e),4351,0.02551137669501264,0.018280632411067192
LRT (log_e),4401,0.025221540558963872,0.018280632411067192
LRT (log_e),4451,0.024938216131206472,0.018280632411067192
LRT (log_e),4501,0.024661186403021552,0.018280632411067192
LRT (log_e),4551,0.024390243902439025,0.018280632411067192
LRT (log_e),4601,0.024125190176048684,0.018280632411067192
LRT (log_e),4651,0.02386583530423565,0.018280632411067192
LRT (log_e),4701,0.03382259093809828,0.026185770750988144
LRT (log_e),4751,0.03851820669332772,0.030138339920948616
LRT (log_e),4801,0.04499062695271818,0.03557312252964427
LRT (log_e),4851,0.04926819212533498,0.039361001317523056
LRT (log_e),4901,0.05447867782085289,0.04397233201581028
LRT (log_e),4951,0.05756412845889719,0.04693675889328063
LRT (log_e),5001,0.05698860227954409,0.04693675889328063
LRT (log_e),5051,0.056424470401900614,0.04693675889328063
LRT (log_e),5101,0.05841991766320329,0.04907773386034255
LRT (log_e),5151,0.0627062706270627,0.05319499341238472
LRT (log_e),5201,0.06421841953470486,0.055006587615283264
LRT (log_e),5251,0.06951056941534946,0.060111989459815544
LRT (log_e),5301,0.07375966798717223,0.06439393939393939
LRT (log_e),5351,0.07699495421416558,0.06785243741765482
LRT (log_e),5401,0.08405850768376226,0.07476943346508563
LRT (log_e),5451,0.09246009906439186,0.08300395256916997
LRT (log_e),5501,0.10016360661697873,0.09074440052700922
LRT (log_e),5551,0.10268420104485679,0.09387351778656126
LRT (log_e),5601,0.10676664881271201,0.09848484848484848
LRT (log_e),5651,0.11449301008671031,0.10655467720685112
LRT (log_e),5701,0.1208559901771619,0.11347167325428195
LRT (log_e),5751,0.1276299773952356,0.12088274044795784
LRT (log_e),5801,0.13187381485950697,0.1259881422924901
LRT (log_e),5851,0.13467783284908563,0.1297760210803689
LRT (log_e),5901,0.13641755634638197,0.13257575757575757
LRT (log_e),5951,0.13527138296084693,0.13257575757575757
LRT (log_e),6001,0.13414430928178636,0.13257575757575757
LRT (log_e),6051,0.13452321930259462,0.13405797101449277
LRT (log_e),6101,0.13358465825274546,0.13422266139657443
LRT (log_e),6151,0.1331490814501707,0.13488142292490118
LRT (log_e),6201,0.13513949363005967,0.13801054018445322
LRT (log_e),6251,0.135498320268757,0.13949275362318841
LRT (log_e),6301,0.13664497698777972,0.141798418972332
LRT (log_e),6351,0.1387183120768383,0.14509222661396576
LRT (log_e),6401,0.13888454928917357,0.14640974967061923
LRT (log_e),6451,0.1409083862966982,0.14970355731225296
LRT (log_e),6501,0.14059375480695277,0.1505270092226614
LRT (log_e),6551,0.14119981682185925,0.15233860342555994
LRT (log_e),6601,0.14073625208301774,0.1529973649538867
LRT (log_e),6651,0.1401293038640806,0.15349143610013175
LRT (log_e),6701,0.13908371884793314,0.15349143610013175
LRT (log_e),6751,0.1380536216856762,0.15349143610013175
LRT (log_e),6801,0.13718570798411997,0.15365612648221344
LRT (log_e),6851,0.13633046270617427,0.15382081686429513
LRT (log_e),6901,0.1356325170265179,0.1541501976284585
LRT (log_e),6951,0.13465688390159689,0.1541501976284585
LRT (log_e),7001,0.1341236966147693,0.15464426877470355
LRT (log_e),7051,0.13317259963125797,0.15464426877470355
LRT (log_e),7101,0.13223489649345163,0.15464426877470355
LRT (log_e),7151,0.131310306250874,0.15464426877470355
LRT (log_e),7201,0.1348423830023608,0.15991436100131753
LRT (log_e),7251,0.14080816439111846,0.16814888010540185
LRT (log_e),7301,0.14669223394055608,0.17638339920948617
LRT (log_e),7351,0.1523602230988981,0.1844532279314888
LRT (log_e),7401,0.1580867450344548,0.19268774703557312
LRT (log_e),7451,0.16360220104683934,0.20075757575757575
LRT (log_e),7501,0.169177443007599,0.20899209486166007
