cluster_id,n_members,n_matched_buzzfeed,frac_matched_buzzfeed,n_astroturf,frac_astroturf,n_advocacy,frac_advocacy,top_label
14628,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14627,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14626,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14625,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14535,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24453,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14306,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
25257,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
25031,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
25044,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
25045,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
25056,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
25105,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
25156,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
25171,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
25193,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
25207,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
25221,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
25355,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14534,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
25368,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
8403,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
25420,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
25421,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
8404,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
25455,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
8405,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
8406,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
8407,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
8408,9,9,1.0,9,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24953,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24935,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24914,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24885,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24571,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24573,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24623,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24624,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24641,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24678,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14471,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14470,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24791,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24806,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24813,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
