cluster_id,n,log_e_para_multi,log_e_verb,log_e_full
292,45,-1.6113500738945112,165.5904080851944,164.89726090463446
293,45,-1.7909583682796388,1.4985094967431598,0.8419581245439397
294,45,-1.7924955024173737,-1.5054982253802645,-1.6387360768319632
295,45,-1.803163784606567,-0.31818884746673914,-0.8071649064020868
296,45,-1.7874231494068265,-1.5054982253802645,-1.636558209030515
297,45,-1.7795775157994105,165.5904080851944,164.89726090463446
298,45,-1.7539629250654856,-1.5054982253802645,-1.6220335053998105
299,45,-1.7328155860664736,-1.5054982253802645,-1.6127116170578044
300,45,-1.7940221523900117,-1.5054982253802645,-1.6393903260368952
301,45,-1.7926405401809409,-2.875139001425225,-2.194052783427422
302,45,-1.4984828274765816,165.5904080851944,164.89726090463446
303,45,-1.7328155860664736,-1.5054982253802645,-1.6127116170578044
304,45,-1.7603440828085577,-1.5054982253802645,-1.6248247269986107
305,45,-1.7583626556353447,165.5904080851944,164.89726090463446
306,45,-1.804918615942367,-0.31818884746673914,-0.8074887519177543
307,45,-1.7830807404212878,-1.5054982253802645,-1.634688740374714
308,45,-1.7831342741896825,-2.203697912568381,-1.9714679149815248
309,44,-1.1921057167406235,165.5904080851944,164.89726090463446
310,44,-1.7944474144526459,165.5904080851944,164.89726090463446
311,44,-1.8085870880557144,3.9794034839351076,3.289315751636184
312,44,-1.7842660991573713,-1.5650604881993884,-1.6686688933746519
313,44,-1.7885564129376368,-1.5650604881993884,-1.6705775989388356
314,44,-1.7991150534083147,-1.5650604881993884,-1.6752556518170234
315,44,-1.7877456515096932,1.7986156782181346,1.132790756592891
316,44,-1.7916261442390886,-3.004252304413466,-2.2243993527253667
317,44,-1.7941025056850126,-1.5650604881993884,-1.6730382500255057
318,44,-1.8007868919333592,-0.3887981689226516,-0.8638881258182652
319,44,-1.8025641812071496,-2.2516675018029653,-2.0021131884004677
320,44,-1.8014091030067791,-1.5650604881993884,-1.6762684040268674
321,44,-1.814622542526962,-1.5650604881993884,-1.6820764823695211
322,44,-1.7511990660468013,-1.5650604881993884,-1.6538050688138297
323,44,-1.790933197797849,-1.5650604881993884,-1.6716330436440618
324,44,-1.7988432939125778,-1.5650604881993884,-1.675135592402813
325,44,-1.790933197797849,165.5904080851944,164.89726090463446
326,44,-1.7885564129376368,-1.5650604881993884,-1.6705775989388356
327,44,-1.7842660991573713,-1.5650604881993884,-1.6686688933746519
328,44,-1.734783323802604,-1.5650604881993884,-1.6463254893564558
329,44,-1.7511990660468013,-1.5650604881993884,-1.6538050688138297
330,44,-1.7988432939125778,-1.5650604881993884,-1.675135592402813
331,44,-1.734783323802604,-1.5650604881993884,-1.6463254893564558
332,44,-1.7760879837685564,-1.5650604881993884,-1.6650179588574272
333,44,-1.7404200494175974,-1.5650604881993884,-1.6489013118885818
334,44,-1.734783323802604,-1.5650604881993884,-1.6463254893564558
335,44,-1.7843251626977419,165.5904080851944,164.89726090463446
336,44,-1.8038808346095432,165.5904080851944,164.89726090463446
337,44,-1.7988432939125778,-1.5650604881993884,-1.675135592402813
338,44,-1.7511990660468013,-1.5650604881993884,-1.6538050688138297
339,43,-1.7758437716706403,-1.625192479427907,-1.6976838278270652
340,43,-1.798674266585015,-1.625192479427907,-1.7081760897796059
341,43,-1.6230685708615662,-3.004832473519282,-2.092164464922639
342,43,-1.7552949734361536,-1.9723470513797914,-1.8579435855756947
343,43,-1.807473662940701,-1.9723470513797914,-1.8865162945077065
344,43,-1.799219410900963,-1.625192479427907,-1.7084250410348973
345,43,-1.7399247989470243,-1.625192479427907,-1.680914102742376
346,43,-1.7106225122708079,165.5904080851944,164.89726090463446
347,43,-1.7481107601257118,165.5904080851944,164.89726090463446
348,43,-1.800780679562406,-1.625192479427907,-1.7091376181930933
349,43,-1.801056007043361,165.5904080851944,164.89726090463446
350,43,-1.7638604569973375,165.5904080851944,164.89726090463446
351,43,-1.790318452910009,165.5904080851944,164.89726090463446
352,43,-1.7853126143477638,165.5904080851944,164.89726090463446
353,43,-1.7697153170960975,165.5904080851944,164.89726090463446
354,43,-1.7907137966138733,165.5904080851944,164.89726090463446
355,43,-1.763487016639735,-2.6992828749949975,-2.1256961408815416
356,43,-1.8049321831344591,165.5904080851944,164.89726090463446
357,43,-1.8049591169744996,-1.625192479427907,-1.711041720216338
358,43,-1.7920086625379068,-1.625192479427907,-1.7051261418640151
359,43,-1.8083957953466072,165.5904080851944,164.89726090463446
360,43,-1.7908416878118818,165.5904080851944,164.89726090463446
361,43,-1.7960106574894943,-1.625192479427907,-1.7069586380096964
362,43,-1.7854427555080536,-1.625192479427907,-1.7021110274665245
363,43,-1.7253857159392116,165.5904080851944,164.89726090463446
364,43,-1.7901641487601085,165.5904080851944,164.89726090463446
365,43,-1.6254258120244827,3.610965386451812,2.9231235267228053
366,43,-1.7933768396676606,-2.299619756852359,-2.0147994139976912
367,43,-1.798674266585015,-1.625192479427907,-1.7081760897796059
368,43,-1.745819366389946,-1.625192479427907,-1.6836881688535037
369,43,-1.7692879274719187,165.5904080851944,164.89726090463446
370,43,-1.745819366389946,-1.625192479427907,-1.6836881688535037
371,43,-1.7931767418378803,165.5904080851944,164.89726090463446
372,42,-1.7409320294962458,165.5904080851944,164.89726090463446
373,42,-1.7994420738554457,165.5904080851944,164.89726090463446
374,42,-1.7300108388522353,165.5904080851944,164.89726090463446
375,42,-1.7888192081055465,-1.685879562234786,-1.7360253982505944
376,42,-1.7907886140633347,-1.685879562234786,-1.7369589799277088
377,42,-1.2288766997839344,-0.06320849081414792,-0.48502076208483275
378,42,-1.7881002327976163,165.5904080851944,164.89726090463446
379,42,-1.7359084844715518,165.5904080851944,164.89726090463446
380,42,-1.7780406444992904,37.872426981668994,37.17927980110905
381,42,-1.7785325814793054,165.5904080851944,164.89726090463446
382,42,-1.4997699924867702,-1.685879562234786,-1.588501414944774
383,42,-1.769120286493128,165.5904080851944,164.89726090463446
384,42,-1.6441201099454468,-2.3474942858373575,-1.9351995728101041
385,42,-1.7866085895138208,-1.685879562234786,-1.7349763195831183
386,42,-1.7847171924586136,-0.5333896527217177,-0.9749032427208011
387,42,-1.7849593732882107,165.5904080851944,164.89726090463446
388,42,-1.804093241807044,165.5904080851944,164.89726090463446
389,42,-1.7871603842190231,-3.0167654017397068,-2.2238003803877855
390,42,-1.7995460963182524,-1.685879562234786,-1.7410986878263004
391,42,-1.7923913738336115,-1.685879562234786,-1.7377180421082463
392,42,-1.7866085895138208,-1.685879562234786,-1.7349763195831183
393,42,-1.7886251823872643,-0.5333896527217177,-0.9757713349482611
394,42,-1.7269422472083518,165.5904080851944,164.89726090463446
395,42,-1.7995460963182524,165.5904080851944,164.89726090463446
396,42,-1.7020035448790383,165.5904080851944,164.89726090463446
397,42,-1.786737342894506,-2.939902863123366,-2.205564298682232
398,42,-1.775997119422093,-1.685879562234786,-1.7299235373860502
399,42,-1.7866085895138208,-1.685879562234786,-1.7349763195831183
400,42,-1.7930691251308768,-1.685879562234786,-1.7380388304145078
