cluster_id,n,tau,f_anchor,log_e_para_multi,log_e_verb,log_e_full,log_e_para_g0.95,log_e_para_g0.96,log_e_para_g0.97,log_e_para_g0.98,y_astro,span_days,H_day,H_state,H_email,stat_time,stat_geo,stat_email,log_e_time,log_e_geo,log_e_email,log_e_multi5,log_e_multi4_noverb,log_e_para_time,log_e_para_time_geo
38,54,0.0555555555555555,0.074074074074074,-0.9319245387303584,2.3714534668665483,1.7144055810271004,-1.2670178785703403,-1.1378954676014177,-0.90360592776712,-0.5657904887819609,0,68.0,0.43489583333333337,0.07291666666666669,0.11024305555555554,0.5651041666666666,0.9270833333333333,0.8897569444444444,0.7594840179618716,-0.10015499578112141,-0.9859856151713897,1.0662053930774384,-0.04899676934790276,0.23545477609654009,0.1355983540735537
39,54,0.0555555555555555,0.0555555555555555,-0.8461435428938867,2.5711916278165,1.9103177408119243,-1.3054059041636086,-1.1053275470813442,-0.7704385714124035,-0.4287991341599313,0,68.0,0.3705555555555555,0.05569444444444445,0.11069444444444443,0.6294444444444445,0.9443055555555555,0.8893055555555556,0.7725528408107484,-0.3458577686013742,-1.0004654326121436,1.2090246997208018,-0.08619135661133392,0.26019007898791113,0.09590587605813261
40,54,0.0555555555555555,0.0555555555555555,-0.8770007151279645,2.0357599358721563,1.395514027556104,-1.2471636991313273,-1.0647983350717445,-0.7664638629503985,-0.5667856932515037,0,68.0,0.38145247419010325,0.08526165895336422,0.11480954076183694,0.6185475258098967,0.9147383410466358,0.8851904592381631,0.7747766309712681,0.0346139329835804,-0.9252262837043954,0.8480861833573601,0.004439589808985067,0.25701775484864087,0.1882362904754744
41,53,0.999999,0.1132075471698113,-1.048149359002785,247.31244178905604,246.6192946084961,-1.1891551015628243,-1.192689629095814,-1.0987212786201552,-0.7740009083612613,0,224.0,0.30801281645369233,0.04528236914600551,0.5356523870380417,0.6919871835463076,0.9547176308539945,0.46434761296195826,0.6983723150461011,-0.5712052495949138,0.453902620705505,245.70300387662195,0.11786136551404325,0.1659650049611202,-0.025007488115765808
42,53,0.999999,0.0754716981132075,-1.0710644947978023,281.4394549431443,280.74630776258437,-1.2381649334093623,-1.2130139725590998,-0.9297458342028744,-0.9449353506620872,0,602.0,0.08166666349583829,0.04806023496379858,0.39918015482916636,0.9183333365041617,0.9519397650362014,0.6008198451708336,-0.7889324240652691,-0.4811765395836074,0.3279556740475291,279.8300170307102,-0.35554829801990095,-0.9200814717951,-0.7514623016344364
43,53,0.0566037735849056,0.0754716981132075,-0.9641262729031363,2.480042060238559,1.8183269817441543,-1.275681066161665,-1.2130139725590998,-0.9297458342028744,-0.5904637394325487,0,68.0,0.3782702369959987,0.06602031394275161,0.11495844875346259,0.6217297630040013,0.9339796860572483,0.8850415512465374,0.777490372367416,-0.19672737019584696,-0.953975803291724,1.1445863238013148,-0.06082763324885998,0.24581291536908367,0.11888915310771986
44,53,0.0566037735849056,0.0754716981132075,-0.934493622340659,1.9574805080403217,1.3183162773382606,-1.2462565410493185,-1.1323442098302037,-0.9151294209697504,-0.5783591235363137,0,68.0,0.350915460374116,0.054663229559124865,0.11481261154074955,0.649084539625884,0.9453367704408752,0.8851873884592505,0.7534307633586963,-0.3511067223256521,-0.9251933127182759,0.760701749665692,-0.10053232149273383,0.22994442415772565,0.07106988132844694
45,53,0.0566037735849056,0.0754716981132075,-0.9005003850831288,2.480042060238559,1.8203576929543368,-1.275681066161665,-1.1759816047694676,-0.9297458342028744,-0.4415260178736667,0,68.0,0.3539281997918835,0.056191467221644115,0.1101716961498439,0.6460718002081165,0.9438085327783559,0.8898283038501561,0.7583621431974009,-0.33787166830893645,-1.0063032404094514,1.1353790039667977,-0.09982091908089674,0.23946686455996813,0.08140485193013136
46,53,0.0566037735849056,0.0754716981132075,-0.8762478556942815,2.042936347717837,1.4023604635147957,-1.2269532864171453,-1.157980657419465,-0.9193998154297528,-0.4165674818898002,0,68.0,0.4587654320987654,0.06987654320987656,0.11481481481481481,0.5412345679012346,0.9301234567901234,0.8851851851851852,0.7627332323977025,-0.1607873003656386,-0.9469810060716819,0.8340457798571712,-0.051331637889713067,0.2470439599050761,0.12866991087691537
47,53,0.0566037735849056,0.0566037735849056,-0.8357314632793515,2.042936347717837,1.4044758126545691,-1.274916804839165,-1.096197481755061,-0.7736428303074577,-0.4165674818898002,0,68.0,0.42462192816635164,0.061672967863894146,0.11389413988657845,0.5753780718336483,0.9383270321361059,0.8861058601134215,0.7820286004575674,-0.2732487195743092,-0.9566526194634468,0.8309737077565689,-0.06066880184300105,0.26982075218175916,0.11937076403198432
