scenario,pi0,alpha,rep,k_hat,fdr,tdp
S1_correct,0.5,0.1,35,1747,0.005724098454493417,0.6953562850280224
S1_correct,0.5,0.15,35,1906,0.007869884575026232,0.7570056044835869
S1_correct,0.5,0.2,35,1992,0.01104417670682731,0.7886309047237791
S1_correct,0.5,0.05,36,1534,0.0045632333767926985,0.6230110159118727
S1_correct,0.5,0.1,36,1802,0.009433962264150943,0.7282741738066095
S1_correct,0.5,0.15,36,1924,0.009875259875259876,0.7772337821297429
S1_correct,0.5,0.2,36,2006,0.01296111665004985,0.8078335373317014
S1_correct,0.5,0.05,37,1525,0.002622950819672131,0.6050119331742243
S1_correct,0.5,0.1,37,1780,0.0056179775280898875,0.7040572792362768
S1_correct,0.5,0.15,37,1927,0.007784120394395433,0.7605409705648369
S1_correct,0.5,0.2,37,2022,0.008407517309594461,0.7975338106603023
S1_correct,0.5,0.05,38,1508,0.001989389920424403,0.6010383386581469
S1_correct,0.5,0.1,38,1787,0.005036373810856184,0.7100638977635783
S1_correct,0.5,0.15,38,1920,0.007291666666666667,0.7611821086261981
S1_correct,0.5,0.2,38,2009,0.011448481831757094,0.7931309904153354
S1_correct,0.5,0.05,39,1392,0.0035919540229885057,0.564279902359642
S1_correct,0.5,0.1,39,1688,0.005924170616113744,0.6826688364524003
S1_correct,0.5,0.15,39,1808,0.00995575221238938,0.7282343368592351
S1_correct,0.5,0.2,39,1903,0.011560693641618497,0.7652563059397884
S1_correct,0.5,0.05,40,1499,0.00333555703802535,0.5877261998426436
S1_correct,0.5,0.1,40,1788,0.00727069351230425,0.6982690794649882
S1_correct,0.5,0.15,40,1946,0.008221993833504625,0.7592446892210858
S1_correct,0.5,0.2,40,2024,0.009881422924901186,0.7883556254917388
S1_correct,0.5,0.05,41,1441,0.002775850104094379,0.5741110667199361
S1_correct,0.5,0.1,41,1736,0.00576036866359447,0.6895725129844187
S1_correct,0.5,0.15,41,1873,0.00800854244527496,0.7423092289252896
S1_correct,0.5,0.2,41,1970,0.01116751269035533,0.7782660807031562
S1_correct,0.5,0.05,42,1468,0.004087193460490463,0.5873844917637605
S1_correct,0.5,0.1,42,1739,0.007475560667050029,0.6934511852149458
S1_correct,0.5,0.15,42,1882,0.007438894792773645,0.7505022097227803
