cluster_id,n,tau,f_anchor,log_e_para_multi,log_e_verb,log_e_full,log_e_para_g0.95,log_e_para_g0.96,log_e_para_g0.97,log_e_para_g0.98
13280,8,0.25,0.999999,32.37565968910571,-1.6526464491869355,31.682512508545766,1.1818181868499,33.76190715179596,23.79439341770042,12.360000346963687
13281,8,0.25,0.999999,40.176859662102444,-1.6985465016538401,39.4837124815425,41.54637198200513,37.46730794183913,26.689452641864,13.778178476112613
13282,8,0.25,0.999999,24.40173408068207,-1.7193113774874862,23.70858690012665,1.280994812973708,3.441237046574064,25.78802402353756,13.458212843359657
13283,8,0.125,0.999999,24.40173408132729,-0.7752211214803975,23.708586900778982,4.661234705710959,3.441237046574064,25.78802402353756,13.458212843359657
13284,8,0.25,0.999999,36.08103443683653,-1.6985465016538401,35.387887256276585,4.659787594689282,37.46730794183913,26.689452641864,13.778178476112613
13285,8,0.125,0.999999,24.40173408068207,-0.7752211214803975,23.70858690013376,1.280994812973708,3.441237046574064,25.78802402353756,13.458212843359657
13286,8,0.25,0.999999,24.401734080501267,-1.7193113774874862,23.70858689994585,0.4119927983755508,1.5447777057271233,25.78802402353756,13.458212843359657
13287,8,0.25,0.999999,40.67524230077231,-1.7399434871842778,39.982095120212364,42.05336826027439,37.24995896071799,26.091265929612682,13.576093439648092
13288,8,0.25,0.999999,22.408109878309986,-1.6526464491869355,21.71496269778557,4.395130909886041,3.115738454841847,23.79439341770042,12.360000346963687
13289,8,0.25,0.999999,24.40173408051447,-1.7193113774874862,23.70858689995905,1.280994812973708,1.5447777057271233,25.78802402353756,13.458212843359657
13290,8,0.25,0.999999,25.303160750901178,-1.6985465016538401,24.61001357034311,2.504184542225728,3.4856049661518576,26.689452641864,13.778178476112613
13291,8,0.25,0.999999,24.40173408068207,-1.7193113774874862,23.70858690012665,1.280994812973708,3.441237046574064,25.78802402353756,13.458212843359657
13292,8,0.25,0.999999,33.09518534925327,-1.6726299116302834,32.40203816869332,4.650199000549139,34.481429148899075,24.589126403783606,12.771074919490896
13293,8,0.25,0.999999,24.704975239235978,-1.7399434871842778,24.01182805867931,2.56385591986876,3.4842355366114894,26.091265929612682,13.576093439648092
13294,8,0.25,0.999999,24.704975239182506,-1.7399434871842778,24.011828058625838,0.4182850842772777,3.4842355366114894,26.091265929612682,13.576093439648092
13295,8,0.25,0.999999,40.12723365450172,-1.6726299116302834,39.434086473941775,41.51264450441519,34.481429148899075,24.589126403783606,12.771074919490896
13296,8,0.125,0.999999,36.081034436836525,-0.7998926148888115,35.38788725627658,2.504184542225728,37.46730794183913,26.689452641864,13.778178476112613
13297,8,0.25,0.999999,40.12723365450172,-1.6726299116302834,39.434086473941775,41.51264450441519,34.481429148899075,24.589126403783606,12.771074919490896
13298,8,0.25,0.999999,40.67524230077231,-1.7399434871842778,39.982095120212364,42.05336826027439,37.24995896071799,26.091265929612682,13.576093439648092
13299,8,0.25,0.999999,33.09518534925327,-1.6726299116302834,32.40203816869332,4.650199000549139,34.481429148899075,24.589126403783606,12.771074919490896
13300,8,0.25,0.999999,35.2238427475232,-1.7193113774874862,34.53069556696325,4.661234705710959,36.61011715499739,25.78802402353756,13.458212843359657
13301,8,0.25,0.999999,24.40173408073795,-1.7193113774874862,23.70858690018253,2.5215891132861064,3.441237046574064,25.78802402353756,13.458212843359657
13302,8,0.25,0.999999,24.40173408132729,-1.7193113774874862,23.708586900771873,4.661234705710959,3.441237046574064,25.78802402353756,13.458212843359657
13303,8,0.25,0.999999,23.202839413281342,-1.6726299116302834,22.50969223273713,2.49581283573152,1.4102607134648277,24.589126403783606,12.771074919490896
13304,8,0.25,0.999999,23.202839415645695,-1.6726299116302834,22.509692235101483,4.650199000549139,3.199002948706072,24.589126403783606,12.771074919490896
13305,8,0.25,0.999999,23.202839413708848,-1.6726299116302834,22.509692233164635,2.49581283573152,3.199002948706072,24.589126403783606,12.771074919490896
13306,8,0.25,0.875,12.071937302369886,-1.7193113774874862,11.378791146368007,1.280994812973708,1.5447777057271233,1.5849123995391432,13.458212843359657
13307,8,0.25,0.999999,37.78142473387672,-1.6526464491869355,37.08827755331677,39.16321836432293,33.76190715179596,23.79439341770042,12.360000346963687
13308,8,0.25,0.999999,39.808861549822126,-1.7193113774874862,39.11571436926218,41.184899939870675,36.61011715499739,25.78802402353756,13.458212843359657
13309,8,0.25,0.999999,35.86367885041273,-1.7399434871842778,35.170531669852785,2.56385591986876,37.24995896071799,26.091265929612682,13.576093439648092
13310,8,0.25,0.999999,32.375659689105724,-1.6526464491869355,31.68251250854578,2.3603402497781545,33.76190715179596,23.79439341770042,12.360000346963687
13311,8,0.25,0.999999,24.40173408051447,-1.7193113774874862,23.70858689995905,1.280994812973708,1.5447777057271233,25.78802402353756,13.458212843359657
13312,8,0.25,0.999999,24.704975239192546,-1.7399434871842778,24.011828058635878,1.3007949200201536,3.4842355366114894,26.091265929612682,13.576093439648092
13313,8,0.25,0.999999,35.223842747523186,-1.7193113774874862,34.53069556696324,2.5215891132861064,36.61011715499739,25.78802402353756,13.458212843359657
13314,8,0.25,0.875,11.384801162267344,-1.6726299116302834,10.69165611587869,0.3805279248452692,0.40098242988185107,1.4572278574824908,12.771074919490896
