cluster_id,n,kappa_hat,log_e_lrt,log_e_mixlr,T_obs,T_obs_coh,p_coh,frac_astroturf,frac_advocacy,y,log_e_coh,score_supervised
850,31,3840.0,750.0,399.59797455947626,0.9997751116752625,0.9997751116752625,3.633347358606561e-191,0.0,0.0,0,438.50359840113623,0.0011803860570432823
851,31,3840.0,750.0,394.6544411043907,0.9997549653053284,0.9997549653053284,9.786951081573555e-189,0.0,0.0,0,432.90753259975,0.0011803860570432823
852,31,3840.0,750.0,122.10323078328129,0.9730824828147888,0.9730824828147888,9.130058899469973e-57,0.0,0.0,0,129.03577815487301,0.0011803860570432823
853,31,3840.0,750.0,155.26114237274274,0.9846472144126892,0.9846472144126892,3.714395158494174e-72,0.0,0.0,0,164.4739108412908,0.0011803860570432823
854,31,3840.0,750.0,143.20554024515678,0.9811534881591797,0.9811534881591797,1.672493559404045e-66,0.0,0.0,0,151.45630047547368,0.0011803860570432823
855,31,3764.6858947080814,750.0,113.87306351320754,0.9691003561019897,0.9691003561019897,4.893068332812395e-53,0.0,0.0,0,120.44919035105242,0.0011803860570432823
856,31,3840.0,749.3068528194401,167.25058312323284,0.9874889850616455,0.9874889850616455,7.8801815763666e-78,0.0,0.0,0,177.53728630724513,0.0011803860570432823
857,31,2554.1120989860988,749.3068528194401,103.78798517391981,0.9634450674057007,0.9634450674057007,1.5656162608227202e-48,0.0,0.032258064516129,0,110.07580494034832,0.002482077267955966
858,31,3840.0,749.3068528194401,198.380337474077,0.992666482925415,0.992666482925415,9.78162401067083e-93,0.0,0.0,0,211.85990812392419,0.0011803860570432823
859,31,3483.5254968523845,750.0,103.52009967337703,0.9632821083068848,0.9632821083068848,2.057245815745491e-48,0.0,0.7419354838709677,0,109.80271635811926,0.0011803860570432823
860,31,3840.0,750.0,172.1719240894974,0.9884994029998779,0.9884994029998779,3.591590923400808e-80,0.0,0.0,0,182.92821218103663,0.0011803860570432823
861,31,3840.0,750.0,196.47052225283187,0.9924215078353882,0.9924215078353882,8.140932502416542e-92,0.0,0.0,0,209.7409238239626,0.0011803860570432823
862,31,3840.0,750.0,267.5080467013231,0.9977777004241943,0.9977777004241943,2.4232072373257583e-126,0.0,0.0,0,289.2406297498422,0.0011803860570432823
863,31,3840.0,750.0,485.8015291520953,0.9999496340751648,0.9999496340751648,1.469306459326731e-233,0.0,0.0,0,536.1175361745293,0.0011803860570432823
864,31,3840.0,750.0,444.78968709694965,0.9998973608016968,0.9998973608016968,2.179317639140419e-213,0.0,0.0,0,489.6716129894971,0.0011803860570432823
865,31,3840.0,750.0,403.2219864999163,0.9997888207435608,0.9997888207435608,6.006023702948973e-193,0.0,0.0,0,442.6061600317525,0.0011803860570432823
866,31,3840.0,750.0,396.75254462492484,0.9997637271881104,0.9997637271881104,9.103198673987382e-190,0.0,0.0,0,435.2825418144725,0.0011803860570432823
867,31,3840.0,750.0,372.52244154041506,0.9996402263641357,0.9996402263641357,7.400622146784492e-178,0.0,0.0,0,407.85858248237423,0.0011803860570432823
868,31,3840.0,750.0,499.42817652718537,0.9999602437019348,0.9999602437019348,2.9138930556834516e-240,0.0,0.0,0,551.5509323116487,0.0011803860570432823
869,31,3069.7815250419017,750.0,100.25774917237443,0.9612411260604858,0.9612411260604858,5.66076998113628e-47,0.0,0.7096774193548387,0,106.48793944868751,0.0014625123601517776
870,31,3015.8354696347837,749.3068530065161,104.82003359651623,0.9640664458274841,0.9640664458274841,5.460425541019594e-49,0.0,0.6774193548387096,0,111.12914283207274,0.0018782180914935077
871,31,3840.0,750.0,127.50492218734507,0.9754213690757751,0.9754213690757751,3.092514738406379e-59,0.0,0.2258064516129032,0,134.72353589552063,0.0011803860570432823
872,31,3840.0,750.0,269.36227280050923,0.9978479146957397,0.9978479146957397,3.004100083269719e-127,0.0,0.7096774193548387,0,291.3283287602292,0.0011803860570432823
873,31,3840.0,750.0,342.13146295354284,0.9993904232978821,0.9993904232978821,6.313264057974195e-163,0.0,0.0,0,373.4787173318656,0.0011803860570432823
874,31,3840.0,750.0,495.3444546153676,0.9999573230743408,0.9999573230743408,2.9729252672345436e-238,0.0,0.0,0,546.925705726039,0.0011803860570432823
875,31,3215.9568434868506,750.0,111.58064724179604,0.9678937792778015,0.9678937792778015,5.250605352627317e-52,0.0,0.0,0,118.07608146047164,0.0014625123601517776
876,31,3494.571920733465,749.3068528194401,129.7240221384207,0.9763240218162537,0.9763240218162537,2.9563561247056834e-60,0.0,0.0,0,137.07114810860844,0.0011803860570432823
877,31,3054.8586881744195,705.8844588583637,122.7638081608932,0.9733796715736389,0.9733796715736389,4.563657297140089e-57,0.0,0.0,0,129.72922595974907,0.0014625123601517776
878,31,3288.2157377307203,749.3068528194401,114.23448705273941,0.9692865610122681,0.9692865610122681,3.363237482524094e-53,0.0,0.0,0,120.8241058821471,0.0014625123601517776
879,31,2420.233102393162,749.3068528194415,108.91636624787981,0.9664345979690552,0.9664345979690552,8.190035444020148e-51,0.0,0.0,0,115.32892151712153,0.0023676367136544387
880,31,3687.133193757058,750.0,119.78629907897331,0.9720145463943481,0.9720145463943481,1.0343514869614953e-55,0.0,0.0,0,126.60840546698603,0.0011803860570432823
881,31,3840.0,750.0,394.500469222645,0.9997543096542358,0.9997543096542358,1.1650401542169289e-188,0.0,0.0,0,432.7332419293179,0.0011803860570432823
882,31,2978.6964808765983,750.0,82.18018853578798,0.9478368163108826,0.9478368163108826,3.563031319788506e-39,0.0,0.4516129032258064,0,88.53020694989686,0.017905141529393896
883,30,3142.8139880649383,749.3068528194401,88.93124879576094,0.9616790413856506,0.9616790413856506,1.7078118493209716e-40,0.0,0.0,0,91.56819078894053,0.0014625123601517776
884,30,3356.5748871393425,749.3068528194401,125.11083704695001,0.9804648756980896,0.9804648756980896,5.514328877930463e-56,0.0,0.0,0,127.23741525267775,0.0014625123601517776
885,30,3840.0,750.0,127.61903495562322,0.9813557863235474,0.9813557863235474,4.490954204708765e-57,0.0,0.0,0,129.74528510373264,0.0011803860570432823
886,30,3621.4563030933605,750.0,131.01233444720208,0.9824966788291931,0.9824966788291931,1.5013687056113857e-58,0.0,0.1,0,133.14355823118694,0.0011803860570432823
887,30,3840.0,750.0,424.4184597697103,0.9999250769615173,0.9999250769615173,4.427061772643831e-189,0.0,0.0,0,433.7008464686092,0.0011803860570432823
888,30,3840.0,750.0,359.8876208220526,0.9997514486312866,0.9997514486312866,3.0529159800144444e-160,0.0,0.0,0,367.2975176861402,0.0011803860570432823
889,30,1978.5776688973806,749.3068528194401,110.23596547573317,0.9742324948310852,0.9742324948310852,1.4651406004219234e-49,0.0,0.0,0,112.44471834586007,0.0034867921349118593
890,30,3840.0,750.0,366.7313753724897,0.9997811317443848,0.9997811317443848,2.6709331562722977e-163,0.0,0.0,0,374.33894224994583,0.0011803860570432823
891,30,3658.4284386892887,750.0,110.60395212849292,0.9744084477424622,0.9744084477424622,1.0180068364800674e-49,0.0,0.0,0,112.80882292300318,0.0011803860570432823
892,30,3840.0,750.0,141.66150498365303,0.9856427311897278,0.9856427311897278,3.3807803533061454e-63,0.0,1.0,0,143.84475430201798,0.0011803860570432823
893,30,3840.0,750.0,195.36177259691036,0.9947108626365662,0.9947108626365662,7.049622428788478e-87,0.0,0.0,0,198.3719290312922,0.0011803860570432823
894,30,3840.0,750.0,110.75351286563429,0.974479615688324,0.974479615688324,8.779499480643978e-50,0.0,0.0,0,112.95683525044058,0.0011803860570432823
895,30,3840.0,750.0,391.2549451694401,0.9998612403869629,0.9998612403869629,2.9353923498240263e-174,0.0,0.0,0,399.57296505695075,0.0011803860570432823
896,30,2751.534232273728,750.0,144.18677351924774,0.986301600933075,0.986301600933075,2.6532950267371016e-64,0.0,0.0,0,146.38964367769435,0.0018782180914935077
897,30,2392.835839935566,749.3068528194401,84.21681129382249,0.9581587910652161,0.9581587910652161,1.6245709967100005e-38,0.0,0.5333333333333333,0,87.01298975487131,0.006450620357836986
898,30,3435.7606977361656,749.3068528194401,80.05229010228632,0.954780101776123,0.954780101776123,8.871473989622337e-37,0.0,0.0,0,83.01280748130552,0.006382632828877598
899,30,3840.0,750.0,168.56715202827684,0.9912955164909363,0.9912955164909363,5.057294497250645e-75,0.0,0.0,0,171.07305031858652,0.0011803860570432823
900,30,3840.0,749.3068528194401,153.98229176756118,0.9885833263397217,0.9885833263397217,1.3387072042043313e-68,0.0,0.0333333333333333,0,156.28408194830712,0.0011803860570432823
901,30,2763.972450780261,750.0,100.63009844690157,0.9691846966743469,0.9691846966743469,1.8912381933987703e-45,0.0,0.0,0,102.97909744138127,0.0018782180914935077
902,30,3840.0,749.3068528194401,136.46706406758568,0.9841859936714172,0.9841859936714172,6.291931168969302e-61,0.0,0.0,0,138.6184226269524,0.0011803860570432823
903,30,3840.0,750.0,155.01818501069357,0.9888011813163757,0.9888011813163757,4.692605099800275e-69,0.0,0.0,0,157.33238352996128,0.0011803860570432823
904,30,3776.9009929298,750.0,110.66152243299751,0.9744358658790588,0.9744358658790588,9.616298843407115e-50,0.0,0.0,0,112.86579519466697,0.0011803860570432823
905,30,3840.0,750.0,296.47321632206405,0.9991923570632935,0.9991923570632935,6.466660037516728e-132,0.0,0.0,0,302.07457252293966,0.0011803860570432823
906,30,2816.852976758536,749.3068528194403,104.19303267220216,0.9711633324623108,0.9711633324623108,5.700791344824398e-47,0.0,0.0,0,106.48089437309063,0.0018782180914935077
907,30,3840.0,749.3068528194401,168.78892289874878,0.9913313388824463,0.9913313388824463,4.0370300590433257e-75,0.0,0.5,0,171.29837268682397,0.0011803860570432823
908,30,3840.0,750.0,178.97886931352298,0.9928275942802429,0.9928275942802429,1.2717253972225908e-79,0.0,0.0,0,181.66384778760434,0.0011803860570432823
