method,K,pi_0,dependence,rho,alpha,mean_fdr,sd_fdr,mean_power,sd_power,mean_k,mean_ap,n_reps
Storey,5000,0.5,prds_block,0.3,0.2,0.2047373807834848,0.026114546780483482,0.9967570776485835,0.002115192407290698,3137.8,0.9887256544931948,200
Storey,5000,0.7,independent,0.0,0.01,0.009710860385712226,0.0032257165054458783,0.63222720275554,0.016135363884161237,954.005,0.9761648913553652,200
Storey,5000,0.7,independent,0.0,0.05,0.04997772094530166,0.006146684351579611,0.8667555318446983,0.010739724817143475,1363.27,0.9761648913553652,200
Storey,5000,0.7,independent,0.0,0.1,0.09993224527763755,0.008571221280926382,0.9360807649440696,0.007587249921835242,1554.07,0.9761648913553652,200
Storey,5000,0.7,independent,0.0,0.2,0.1998859173234775,0.01197769416632955,0.9790506593847513,0.004313983325862653,1828.665,0.9761648913553652,200
Storey,5000,0.7,prds_ar1,0.5,0.01,0.00981820355930303,0.003373931459503073,0.6328968016908455,0.022604936952980798,956.685,0.9761859282734677,200
Storey,5000,0.7,prds_ar1,0.5,0.05,0.04939406745661051,0.006422605262112476,0.8668143492364622,0.01265682634119307,1364.805,0.9761859282734677,200
Storey,5000,0.7,prds_ar1,0.5,0.1,0.09998809341048952,0.0094940137546082,0.9358436127908167,0.008723509199606086,1556.4,0.9761859282734677,200
Storey,5000,0.7,prds_ar1,0.5,0.2,0.1999858462815922,0.014332695912788393,0.9789690231589612,0.004923996209168421,1831.995,0.9761859282734677,200
Storey,5000,0.7,prds_block,0.3,0.01,0.009956530541515022,0.004949157214115117,0.6338718223926584,0.038622196726072394,963.58,0.9764247602905044,200
Storey,5000,0.7,prds_block,0.3,0.05,0.05071626313735843,0.013273329248657477,0.8666662785169484,0.02398725251857771,1374.235,0.9764247602905044,200
Storey,5000,0.7,prds_block,0.3,0.1,0.10162381423094376,0.021256139530525558,0.9360880463810455,0.015416433879879227,1569.015,0.9764247602905044,200
Storey,5000,0.7,prds_block,0.3,0.2,0.20116752836035254,0.03386742683005342,0.9793174845722257,0.007784927159332849,1848.265,0.9764247602905044,200
Storey,5000,0.9,independent,0.0,0.01,0.010203727716648433,0.006371577321004872,0.419564811351309,0.032432310471173544,211.46,0.9295515426165356,200
Storey,5000,0.9,independent,0.0,0.05,0.049191669001860595,0.011794689602494208,0.6794238596529719,0.02794629811398479,356.46,0.9295515426165356,200
Storey,5000,0.9,independent,0.0,0.1,0.09859414343012508,0.014319779834074614,0.7893704992112544,0.02440787587524574,436.88,0.9295515426165356,200
Storey,5000,0.9,independent,0.0,0.2,0.19949678505243335,0.0193299964568791,0.8861171309854555,0.01835200733078778,552.365,0.9295515426165356,200
Storey,5000,0.9,prds_ar1,0.5,0.01,0.010114099418326633,0.0074917730193928556,0.4176810504171666,0.03317309691839489,210.805,0.9294420797618885,200
Storey,5000,0.9,prds_ar1,0.5,0.05,0.050507091682694905,0.013534066673433733,0.6801622509912204,0.03035445324458759,357.9,0.9294420797618885,200
Storey,5000,0.9,prds_ar1,0.5,0.1,0.10145019009565322,0.019352794557728144,0.791519165976739,0.026184430855372934,440.21,0.9294420797618885,200
Storey,5000,0.9,prds_ar1,0.5,0.2,0.2003709512229123,0.025764052621996866,0.8896128522426561,0.01934859487547611,556.265,0.9294420797618885,200
Storey,5000,0.9,prds_block,0.3,0.01,0.010088161202204462,0.00797905034019843,0.4212748431409865,0.05311628497783113,213.995,0.9318909502612499,200
Storey,5000,0.9,prds_block,0.3,0.05,0.05009825941230467,0.018470845910283362,0.681718449864966,0.047484987283554644,360.89,0.9318909502612499,200
Storey,5000,0.9,prds_block,0.3,0.1,0.09951000331150199,0.02958629828490939,0.7933867110072663,0.03884669401973018,443.39,0.9318909502612499,200
Storey,5000,0.9,prds_block,0.3,0.2,0.19976897926715587,0.04603107211350804,0.8904567369657912,0.02826672902362977,561.26,0.9318909502612499,200
Storey,5000,0.95,independent,0.0,0.01,0.01022558958850875,0.011191866585004878,0.31178947669561946,0.04054362100681769,79.12,0.882234303104972,200
Storey,5000,0.95,independent,0.0,0.05,0.0509030960988049,0.01853905224196136,0.5591647329666815,0.04326774101451556,147.975,0.882234303104972,200
Storey,5000,0.95,independent,0.0,0.1,0.1008491819247209,0.023839651954456205,0.6786340859597694,0.040115888748840485,189.645,0.882234303104972,200
Storey,5000,0.95,independent,0.0,0.2,0.20129045822445676,0.029217106190951424,0.799322254530291,0.03486250705165669,251.595,0.882234303104972,200
Storey,5000,0.95,prds_ar1,0.5,0.01,0.010941092436363223,0.011267499179476762,0.3128201590253732,0.04392154109185139,78.495,0.8823896804913951,200
Storey,5000,0.95,prds_ar1,0.5,0.05,0.050274060230015793,0.02055192053892868,0.5607052259166138,0.045737061235877424,146.545,0.8823896804913951,200
Storey,5000,0.95,prds_ar1,0.5,0.1,0.09991363601197815,0.028672802577209472,0.677474634467643,0.040319164788019585,186.935,0.8823896804913951,200
